Linha,Linha nome,Itinerário,Sentido
0249,S.SEB / FPOLIS VIA MADRI/AV TORRES/BR/HR/I.SILV,ITI IDA - I.EVANGE / FPOLIS VIA,PC1
0249,S.SEB / FPOLIS VIA MADRI/AV TORRES/BR/HR/I.SILV,ITI IDA - SÃO SEB / FPOLIS VIA,PC1
0249,S.SEB / FPOLIS VIA MADRI/AV TORRES/BR/HR/I.SILV,ITI VOLTA - FPOLIS / SAO SEB,PC2
250,J.ELDORADO / FPOLIS VIA FAZENDA/SÃO JOSÉ/IVO SILV,ITI - IDA - ENT ELD / FPOLIS VIA,PC1
253,BARRA / CID UNIVERSITÁRIA - IFSC VIA PACHECOS,ITI IDA - ENTRADA PACHECOS /,PC1
253,BARRA / CID UNIVERSITÁRIA - IFSC VIA PACHECOS,ITI VOLTA - CID UNIV / BARRA,PC2
260,FLORIANÓPOLIS / ÁREA INDUSTRIAL,ITI IDA - FLORIANÓPOLIS / ÁREA,PC1
263,VILA NOVA / PALHOÇA - PONTE DO IMARUIM VIA MÍRIAM,ITI IDA - VILA NOVA / PONTE DO,PC1
263,VILA NOVA / PALHOÇA - PONTE DO IMARUIM VIA MÍRIAM,ITI VOLTA - PALHOÇA / VILA,PC2
270,BARRA DO ARIRIU/ BARREIROS,ITI IDA - BARRA DO ARIRIU /,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI IDA - DIR CAMPO / PALHOÇA,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI IDA - ESCOLA MUNIC /,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI IDA - PEDREGAL / PALHOÇA,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI IDA - PORTAL / PONTE DO,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI IDA - PORTAL DA BARRA /,PC1
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI VOLTA - ESCOLA MUNICIPAL /,PC2
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI VOLTA - PALHOÇA - PORTAL,PC2
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI VOLTA - PALHOÇA / PORTAL,PC2
280,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA R.GRANDE,ITI VOLTA - PONTE DO IMARUIM,PC2
280,T.NOVA / FPOLIS VIA C.NOVO/PH/MARG BR 101/VIA EXP,ITI VOLTA - FPOLIS / TERRA,PC2
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI IDA - PORTAL / P. IMARUIM,PC1
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI IDA - PORTAL DA BARRA /,PC1
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI VOLTA - ESCOLA MUNICIPAL,PC2
